timestamp,frame,mode,centroid_yaw,action_zone_yaw,raw_delta_deg,target_yaw,bias_applied_deg,confidence,action_intensity_score,breakaway_score,switch_of_play_score,lead_deg,recommended_fov,subgroup_size,subgroup_track_ids,comp_sub_speed_norm,comp_coherence,comp_main_speed_norm,comp_sep_growth,comp_size_penalty,reason_code,reason
13.013,390,wide,-16.55,7.08,23.63,-16.55,0.0,0.862,0.936,0.876,0.272,-4.62,91.6,2,11;12,0.064,0.376,0.113,0.702,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
13.514,405,wide,-16.35,5.72,22.07,-16.35,0.0,0.852,0.937,0.725,0.432,-1.5,91.5,2,11;12,0.023,0.17,0.086,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
14.014,420,wide,-21.59,5.56,27.15,-21.59,0.0,0.807,0.938,0.9,0.328,1.67,91.7,2,11;12,0.231,0.086,0.04,1.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
14.514,435,wide,-38.29,4.58,42.87,-38.29,0.0,0.864,0.927,0.908,0.006,-2.02,91.8,2,5;6,0.226,1.0,0.037,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
15.015,450,wide,-41.98,4.65,46.63,-41.98,0.0,0.908,0.936,0.93,0.193,1.61,92.0,2,6;14,0.148,1.0,0.03,0.401,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
15.515,465,wide,-42.89,2.92,45.81,-42.89,0.0,0.872,0.947,0.916,0.703,-4.06,95.6,2,6;14,0.06,1.0,0.086,0.375,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
16.016,480,wide,-45.03,2.62,47.65,-45.03,0.0,0.914,0.925,0.932,0.01,1.89,92.0,2,6;14,0.055,0.992,0.048,0.594,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
16.517,495,wide,-42.06,3.05,45.11,-42.06,0.0,0.839,0.927,0.862,0.11,1.41,91.5,2,11;12,0.01,0.87,0.035,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
17.017,510,wide,-42.12,3.8,45.92,-42.12,0.0,0.857,0.925,0.781,0.104,1.09,90.9,3,6;14;16,0.066,0.326,0.018,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
17.518,525,wide,-40.42,4.05,44.47,-40.42,0.0,0.928,0.933,0.887,0.076,-0.53,91.6,3,6;14;16,0.183,0.925,0.138,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
18.018,540,wide,-44.57,4.05,48.62,-44.57,0.0,0.841,0.943,0.92,0.534,-0.39,93.0,2,6;16,0.153,0.999,0.012,0.234,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
18.518,555,wide,-43.93,3.94,47.87,-43.93,0.0,0.889,0.95,0.862,0.639,-0.24,94.6,2,11;12,0.206,0.785,0.248,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
19.019,570,wide,-21.27,4.34,25.61,-21.27,0.0,0.847,0.936,0.903,0.253,1.08,91.8,2,11;12,0.242,0.95,0.056,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
